station,datetime,day1,day2,day3,day4,day5,day6,day7,day8,day9,day10,day11,day12,day13,day14,day15,day16,day17,day18,day19,day20,day21,day22,day23,day24,day25,day26,day27,day28,day29,day30,day31,sum
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Dec-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
300202-แม่สะเรียง จ.แม่ฮ่องสอน,Jan-98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
300202-แม่สะเรียง จ.แม่ฮ่องสอน,Feb-98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
300202-แม่สะเรียง จ.แม่ฮ่องสอน,Mar-98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
300202-แม่สะเรียง จ.แม่ฮ่องสอน,Apr-98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-
300202-แม่สะเรียง จ.แม่ฮ่องสอน,May-98,0,0,0,0,0,0,26.9,12.2,0,0,0,1.9,22.1,0,0,0,4.1,30.7,29.8,12.3,11.7,2.6,0,0,2.1,23,1.6,29,2.5,0,0.2,212.7
300202-แม่สะเรียง จ.แม่ฮ่องสอน,Jun-98,0,0,0,0,0,6.5,1.9,1.4,0.1,0.4,6.5,0,0,1.1,0,0,1.6,3.1,0,3.3,6.2,2.1,4.2,6.6,3.4,3.8,32.2,0.8,20.5,0,-,105.7
300202-แม่สะเรียง จ.แม่ฮ่องสอน,Jul-98,4.4,28.5,18.3,13.8,10.8,2.5,0.3,3.4,2.3,3.8,0.5,7,2,4,1.5,15,0,0,0,0,7.1,12.6,1.4,3.4,1,3.6,1.5,0,0,13.8,2.6,165.1
300202-แม่สะเรียง จ.แม่ฮ่องสอน,Aug-98,6.1,7.2,5,1.9,0,2.3,0,1.2,3.6,0.6,0,3,0,0,0,7.5,0,4.6,2.5,0.1,2.1,7.7,14.2,0.4,6.3,0.4,0,0,0.5,0,1.8,79
300202-แม่สะเรียง จ.แม่ฮ่องสอน,Sep-98,0,4.1,3.7,0.1,1,13.1,2.2,3.2,0.1,39.8,0,0,0,0.2,0,1.9,0,1.1,0.3,0,0,0,0,0.2,0,0.1,0.5,0,0,0,-,71.6
300202-แม่สะเรียง จ.แม่ฮ่องสอน,Oct-98,0,0,0,0,0,0,0,0.5,7.6,5,0,13.4,6.9,1.2,0,0,0,0,13.1,0,0,0,0,0,0,0,0,0,0,13.6,0,61.3
300202-แม่สะเรียง จ.แม่ฮ่องสอน,Nov-98,0,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,6.5,0,0,0,0,0,3.3,0.1,0,0,-,12.8
300202-แม่สะเรียง จ.แม่ฮ่องสอน,Dec-98,0,0,0,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,0,0,0,0,0,0,0,0,0,0,0,18.2
300202-แม่สะเรียง จ.แม่ฮ่องสอน,Jan-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
300202-แม่สะเรียง จ.แม่ฮ่องสอน,Feb-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,-,-,-,58
300202-แม่สะเรียง จ.แม่ฮ่องสอน,Mar-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
300202-แม่สะเรียง จ.แม่ฮ่องสอน,Apr-99,0,0,0,0,42.3,7.3,25.3,0,0,0,0,0,0.1,36.7,17.7,12.7,0,0,0,0,0,0,0,0,0,0,3.3,0.3,0.4,0,-,146.1
300202-แม่สะเรียง จ.แม่ฮ่องสอน,May-99,0,50,0,25.3,18.9,0,0.1,0,5,8.7,20.7,5.2,5,0.6,2,0.1,0,0,0.8,15.8,6.9,8.7,2.7,5.9,16.6,13.8,4.9,4.1,0.7,9.7,0,232.2
300202-แม่สะเรียง จ.แม่ฮ่องสอน,Jun-99,0,8.7,6,0.8,0,0,0.4,4.4,5.8,10.3,14,0,0,0.4,0,17.4,1.4,1.8,9.2,2.2,0.3,4.5,23.5,5.4,0.5,1.6,11.8,2.2,0.2,0.1,-,132.9
300202-แม่สะเรียง จ.แม่ฮ่องสอน,Jul-99,0,0,0,0.3,1.6,0.9,5,0.4,0.4,3.5,2.7,0,0.5,1.6,6.6,0.6,0.7,0.5,0,1,3.3,0,2,13.2,13.2,10.4,20.9,0.1,18.8,0.5,0.7,109.4
300202-แม่สะเรียง จ.แม่ฮ่องสอน,Aug-99,1.6,4.6,14.5,28.4,30.3,35,23.2,5,1.8,5,18.8,5.3,4.4,19.1,4.9,0.5,28.7,4.4,26.1,0.2,0,21.8,11.2,3.3,3.8,0.1,3.1,0.1,13.5,11.5,1.4,331.6
300202-แม่สะเรียง จ.แม่ฮ่องสอน,Sep-99,0,1.1,0,0,1.1,6.8,1.6,0,7.7,7.2,34.4,0,0.5,0,21.4,40.3,4.6,3,0.1,16.8,0.1,0,0,22.5,10.1,5.6,6,12.9,4.8,0,-,208.6
300202-แม่สะเรียง จ.แม่ฮ่องสอน,Oct-99,0,7.6,0.2,0,2.3,0,10,0,0.1,0.7,16.2,0.4,1,0.2,0,3.1,4.5,0,0,1.2,1,0,0,0,0.3,4.6,4.2,0.2,43.7,0.1,2.1,103.7
