น้ำระเหยถาด(มิลลิเมตร),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
รายวัน ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ที่,สถานี,เดือน/ปี,วันที่,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,เฉลี่ย
,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
52  ,376201-ตาก จ.ตาก,Apr-02,6.4,8.7,9.5,11.5,8,8.6,8.9,10.6,7.7,10.1,6.8,5.2,4.4,7.2,7.9,10.2,11.5,8.1,7.7,7.9,10.5,8.6,6.9,6,5,6.8,7.1,10.8,4.1,5.6,-,7.9
53  ,376201-ตาก จ.ตาก,May-02,4.9,7.1,7,4.9,6.6,5.6,7.5,5,5.8,4.1,1.7,2.4,3.9,2.5,4.3,3.2,1.5,1.8,2.7,5.4,4.2,7.1,7.9,6.7,5.4,6.7,3.7,5.5,3.4,6.5,6.4,4.9
54  ,376201-ตาก จ.ตาก,Jun-02,4.6,4.5,7.9,7.6,7.2,4.2,4.4,5.6,6.5,4.8,4,8.1,5.8,3.6,4.9,4.3,6.2,4.6,4.8,2.7,4.2,3.7,2.5,4.4,6.1,5.1,7.1,5.3,5,4.4,-,5.1
55  ,376201-ตาก จ.ตาก,Jul-02,6.7,2.2,5.2,5,6.6,3.6,2.3,4.3,4.8,4.4,2.3,3.3,2.5,5.3,3,2.6,3.6,4.6,3.5,0.9,1.4,2.2,4.7,3.6,2.5,2,1.4,5.3,2,3.7,5,3.6
56  ,376201-ตาก จ.ตาก,Aug-02,6.1,4.7,2.1,5.2,3.4,3.2,3.2,4.4,4.8,4,1.1,4,1.9,3.5,4.7,2.5,2.9,6.9,3.7,4.6,1.8,4.3,3,4.6,4.1,6,3.9,2.7,6,3.4,7.5,4
57  ,376201-ตาก จ.ตาก,Sep-02,2.7,3,3.5,-,1.5,1.1,2.4,4.6,2,4.4,4.5,4.7,5.2,5,3.5,3.2,5,3.8,3.1,3.1,2.7,2.4,4.6,5.8,3.9,2.5,4.7,3.2,5.3,3.7,-,3.6
58  ,376201-ตาก จ.ตาก,Oct-02,4.6,4,2.3,2.5,3.4,3.4,0.3,4.6,4.6,4.2,3.1,5.2,4.4,3.8,3.5,4.7,2.6,3.5,2.2,4.1,5.7,3.1,3.1,3.1,2.7,4.8,0.8,1.8,1.5,4.8,4.2,3.4
59  ,376201-ตาก จ.ตาก,Nov-02,3.8,1.7,2.4,2.4,3,3.1,3,3.3,3.9,3.7,3.6,2.2,3.2,4.6,5.3,6.1,1.6,3.2,2.3,1.8,3.7,2.3,2,1.3,2.2,0.9,1.8,1.7,1.6,4.3,-,2.9
60  ,376201-ตาก จ.ตาก,Dec-02,3.3,2.3,3.1,2.7,2,3.9,3.5,2.4,4.2,3.2,2.6,2.1,2.6,1.2,3.8,3.7,2.1,2.9,6.7,5.8,1.4,5,1.1,3.9,2.8,0.6,2.5,2,1.2,2,1.3,2.8
61  ,376201-ตาก จ.ตาก,Jan-03,1.4,1.4,2.2,2.4,2.8,3.7,3.1,3,4,3.4,3.3,3.1,2.9,2.9,1.7,3.7,3,3.5,2.2,4.3,2.9,5.9,3.9,4.7,4,4.5,4.6,2.7,5,4.8,2.6,3.3
62  ,376201-ตาก จ.ตาก,Feb-03,4.1,4.4,3.5,3,4.7,4.6,4.3,3.3,4.5,4.1,3.9,3.5,4.1,3.1,6.9,5.1,7.4,4.8,4.9,5.8,5.9,5.5,5,6.2,5.7,6,4.5,4.2,-,-,-,4.8
63  ,376201-ตาก จ.ตาก,Mar-03,4.6,6.1,9.9,9.6,5.9,8.7,6.7,4.6,4.5,4.5,2.8,6.3,4.4,7.2,7.6,7.3,6.2,8.1,9,6.5,5.5,5.3,5.6,4.5,6.6,3,5.1,3.1,2.4,1.2,5.8,5.8
64  ,376201-ตาก จ.ตาก,Apr-03,5.2,7.1,8.3,5.5,6.1,9,8.1,9,7,7,8.1,10.2,8.9,7.7,6.8,9.3,8.5,9.8,8.8,6.2,7.7,6.5,7.3,8.5,6.7,5.3,7.7,5.4,6.8,4.9,-,7.4
65  ,376201-ตาก จ.ตาก,May-03,2.8,3,8.9,8.5,7.4,10.4,8.4,8.6,4.9,7,3.3,4.7,5.2,8.8,6.8,6.9,5.5,5.1,4.6,2.9,7.2,5.9,4.9,9,6.6,7.3,9.8,8.8,8.9,8.2,3.8,6.6
66  ,376201-ตาก จ.ตาก,Jun-03,3.3,1.5,3.5,2.8,3.5,5.9,4.3,5,2.6,5.3,4,6.2,7.5,6,5.3,5.8,4,3,4.6,3.1,1.4,5.1,4.3,3.5,4.6,3.2,3.5,4.5,2,1.2,-,4
67  ,376201-ตาก จ.ตาก,Jul-03,4.1,2.3,3.5,4,6.4,5.5,3.9,2.6,4.6,6.3,6.8,4.7,2,5.3,4,6.4,3.8,9,7.1,6.1,6.5,5.4,2,3,1.4,2.5,4.7,7.4,6.1,1.3,4.3,4.6
68  ,376201-ตาก จ.ตาก,Aug-03,4.5,6.2,5,5.6,6.7,5.7,4.8,2.6,3.5,2.2,3.8,5.7,5.7,6.1,7.9,6.6,3.1,1.5,5.1,7.9,4.3,4,1.9,2.3,3.3,0.7,3.3,5.7,6.3,6.1,6.5,4.7
69  ,376201-ตาก จ.ตาก,Sep-03,6,6.7,3.4,2.6,2.4,3.5,5.9,6.2,1.5,4.2,2.1,3.9,4.1,1.3,3.7,3.5,5.5,5,5.9,5.8,3.7,3.1,4.2,3.7,3.5,6.6,1.6,4.7,3.3,2.7,-,4
70  ,376201-ตาก จ.ตาก,Oct-03,6.1,3.8,3.8,2.7,4.2,3.3,1.6,5.3,4.8,3.6,6.1,4.4,3.3,2.3,4.6,1.6,3.5,1.9,3.3,2.9,4,1.9,3.5,3.3,2.9,2.7,3.7,3.6,3.7,4.2,1.9,3.5
71  ,376201-ตาก จ.ตาก,Nov-03,4.4,3.8,4.4,3.8,4.1,2.5,5.3,4,2.7,5.2,4.1,3,4.5,4.8,3.4,4,5,2.9,6.1,5.2,4.5,4.1,2.6,5.9,3.5,2.7,4,3.7,3.1,4,-,4
72  ,376201-ตาก จ.ตาก,Dec-03,3.5,2.4,5.1,2.6,2,4.4,2.4,2.2,4.1,3.6,3.1,3.5,3.3,4.1,4.1,3.8,3.1,3.7,3.5,2.2,5.2,3,2,4.9,3.7,2.3,4.7,4.3,3,2.8,2.6,3.4
